0,0,0,0,0
0,0.03747,0.030385,0.14464,0.13144
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0.0076376,0,0
0,0,0.22839,0,0
0,0,0.22172,0,0
0,0.19717,0.16525,0.13085,0
0,0.28547,0,0.1087,0
0,0.30609,0.28828,0.11716,0.25262
0.094299,0.69861,0.83248,0.52372,0.72881
0.4974,1,1,1,1
1,1,1,1,1
0.17028,0.29318,1,0.97087,1
0.0067688,0.0056237,0.30668,0.095445,0.18421
0,0,0.22108,0.05712,0.11184
0,0,0.068674,0,0.0052495
0,0,0,0,0
0,0,0.02976,0.0051589,0
0,0,0.12841,0.091549,0.017096
0,0,0.13371,0.084346,0.010066
0,0,0.15685,0.088553,0.020396
0,0,0.27039,0.080479,0.0074735
0,0,0.29354,0.054543,0
0,0,0.28912,0.042952,0
0,0,0.15218,0.023792,0
0,0,0.095238,0.040366,0
0.015515,0,0.035802,0,0.1576
0,0,0,0,0.12964
0,0,0,0,0.10992
0,0,0,0,0.1032
0,0,0,0,0.12085
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0.0093277
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0.51364,0.22111,0,0.33777,0
1,0.60662,0.18462,0.36108,0.27039
1,0.81904,0.37841,0.56674,0.39209
0.20645,0.57743,0.060631,0.53001,0
0.26657,0.73326,0.15762,0.49691,0
0.45831,1,0.53997,1,0.25096
0,0,0,0.055108,0.34725
0,0,0,0.15645,0
0.32931,0.20854,0.51448,0.83221,0.33125
